name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url
Pelecanimimus,pel-e-kan-i-mim-us,'pelican mimic',small theropod,2.5m,,carnivorous,,,,"Early Cretaceous, 127-121 million years ago",Spain,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria",Perez-Moreno and colleagues ,(1994) ,polyodon," Pelecanimimus Pelecanimimus had more than 200 very small, fine teeth in its mouth, which would have given it a bite that cut and ripped.  The fossil that was first used to describe the species - which is known as a 'holotype' - was well preserved. It show",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pelicanimimus.jpg
Pelorosaurus,pel-oh-ROW-sore-us,'monstrous lizard',sauropod,25.0m,,herbivorous,,,,"Early Cretaceous, 125 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes",Mantell ,(1850) ,conybearei,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pelo.jpg
Pentaceratops,pent-ah-ker-ah-tops,'five-horned face',ceratopsian,6.8m,,herbivorous,,,,"Late Cretaceous, 76-74 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Osborn ,(1923) ,sternbergi,"  This dinosaur had a very large skull, almost 3m long.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pentaceratops.jpg
Piatnitzkysaurus,pye-at-nits-key-sore-us,'Piatnitzky's lizard',large theropod,4.2m,,carnivorous,,,,"Late Jurassic, 164-159 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae",Bonaparte ,(1979) ,floresi,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Piatnitzkysaurus.jpg
Pinacosaurus,pin-ak-oh-sore-us,'plank lizard',armoured dinosaur,5.0m,1000kg,herbivorous,,plants,,"Late Cretaceous, 81-75 million years ago","China,
						
							Mongolia","Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",Gilmore ,(1933) ,grangeri,  Groups of young Pinacosaurus dinosaurs have been found fossilised together.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pinacosaurus.jpg
Plateosaurus,plat-ee-oh-sore-us,'flat lizard',prosauropod,7.0m,4000kg,herbivorous,grinding teeth with a horny beak at the front,plant material,on 2 or 4 legs,"Late Triassic, 210 million years ago","France,
						
							Germany,
						
							Switzerland","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Meyer ,(1837) ,engelhardti,"  Plateosaurus had 5-fingered hands and a large thumb claw, which may have been for defence or for collecting food. Finds in Germany suggest that this dinosaur may have lived in herds.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/plateo.jpg
Podokesaurus,po-doh-kee-sore-us,'swift-footed lizard',small theropod,0.9m,,carnivorous,,,,"Mid Jurassic, 195-180 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Coelophysoidea",Talbot ,(1911) ,holyokensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Podokesaurus.jpg
Poekilopleuron,peek-i-loh-ploor-on,'varied ribs',large theropod,9.0m,,carnivorous,,,,"Mid Jurassic, 169-164 million years ago",France,"Dinosauria, Saurischia, Theropoda, Megalosauridae, Megalosaurinae",Eudes-Deslongchamps ,(1838) ,bucklandii,  Only a partial Poekilopleuron skeleton has been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Poekilopleuron.jpg
Polacanthus,pol-a-KAN-thus,'many spines',armoured dinosaur,5.0m,,herbivorous,,,,"Early Cretaceous, 125 million years ago","England,
						
							United Kingdom","Dinosauria, Ornithischia, Thyreophora, Ankylosauria",Hulke ,(1881) ,foxii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/polac.jpg
Prenocephale,preen-oh-keff-ah-lee,'sloping head',pachycephalosaur,2.4m,,herbivorous,,,,"Late Cretaceous, 80-66 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae",MaryaÃ ska and OsmÃÂ³lska ,(1974) ,prenes,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Prenocephale.jpg
Probactrosaurus,proh-bak-troh-sore-us,'before Bactrosaurus',large ornithopod,6.0m,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Rozhdestvensky ,(1966) ,gobiensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Probactrosaurus.jpg
Proceratosaurus,proh-ker-at-oh-sore-us,'before Ceratosaurus',small theropod,4.1m,,carnivorous,,,,"Mid Jurassic, 169-164 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria",Woodward ,(1910) ,bradleyi,"  Proceratosaurus is known only from a partial skull, so reconstructions are speculative.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Proceratosaurus.jpg
Pro-compsognathus,pro-comp-sog-nay-thus,'before Compsognathus',small theropod,1.0m,,carnivorous,,,,"Late Triassic, 221-210 million years ago",Germany,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Coelophysoidea",Fraas ,(1913) ,triassicus,  Procompsognathus was similar to Ornitholestes. The only specimen is badly crushed.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Procompsognathus.jpg
Prosaurolophus,proh-sore-oh-lof-us,'before lizard crest [Saurolophus]',large ornithopod,7.6m,,herbivorous,,,,"Late Cretaceous, 77-75 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Brown ,(1916) ,maximus,"  Prosaurolophus is known from the skeletons of 24-29 individuals, some articulated (the bones were joined as they would have been in life).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Prosaurolophus.jpg
Prot-archaeopteryx,pro-tark-ee-op-ter-iks,'before Archaeopteryx',small theropod,2.0m,,carnivorous,,,,"Early Cretaceous, 122-120 million years ago",China,"Dinosauria, Saurischia, Theropoda, Paraves, Eumaniraptora",Ji and Ji ,(1997) ,robusta,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Protarchaeopteryx.jpg
Protoceratops,pro-toe-ker-ah-tops,'first horned face',ceratopsian,1.8m,400kg,herbivorous,shearing and grinding teeth with a horny beak at the front,plant material,on 4 legs,"Late Cretaceous, 74-70 million years ago","China,
						
							Mongolia","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria",Granger and Gregory ,(1923) ,andrewsi,  One Protoceratops specimen was fossilised while being attacked by Velociraptor.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/proto.jpg
Protohadros,proh-toh-had-ros,'first hadrosaur',large ornithopod,6.0m,,herbivorous,,,,"Late Cretaceous, 99-94 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Head ,(1998) ,byrdi,  Partial skull and postcranial remains of Protohadros have been found. This was a very early duck-billed dinosaur (hadrosaur).,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Protohadros.jpg
Psittacosaurus,SIT-ak-oh-sore-us,'parrot lizard',ceratopsian,2.0m,50kg,herbivorous,beak,plant material,on 2 or 4 legs,"Early Cretaceous, 120-100 million years ago","China,
						
							Mongolia,
						
							Russia","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Psittacosauridae",Osborn ,(1923) ,mongoliensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/psittaco.jpg
Puertasaurus,PWER-ta-sore-us,'Puerta and Reuil's lizard',sauropod,30.0m,,herbivorous,,,on four legs,"Late Cretaceous, 76-70 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Novas, Salgado, Calvo and Agnolin ",(2005) ,reuili,"  Puertasaurus was a giant sauropod dinosaur in the titanosaur group. It lived towards the end of the Cretaceous Period.  Very few fossils of this dinosaur have been found - only four bones belonging to a single individual. These include one neck bone, one",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/puertasaurus-c.jpg
Pyroraptor,PIE-ro-rap-tor,'fire thief',small theropod,,,carnivorous,"lots of sharp, pointed teeth",other animals,on 2 legs,"Late Cretaceous, 84-71 million years ago","France,
						
							Spain","Dinosauria, Saurischia, Theropoda, Dromaeosauridae",Allain and Taquet ,(2000) ,olympius," Pyroraptor Pyroraptor was a small, meat-eating dinosaur that lived in what is now France and Spain. It got its name, which means 'fire thief', because its remains were first found after a destructive forest fire in Provence, France. Pyroraptor This dinosa",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pyroraptor.jpg
Quaesitosaurus,kwee-siet-oh-sore-us,'extraordinary lizard',sauropod,23.0m,,herbivorous,,,,"Late Cretaceous, 86-84 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Nemegtosauridae",Kurzanov and Bannikov ,(1983) ,orientalis,  Scientists are not very sure of the adult length of this dinosaur. Dates are also uncertain - Quaesitosaurus may have lived 84-71 million years ago.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Quaesitosaurus.jpg
Rajasaurus,RAH-juh-sore-us,'Princely lizard',large theropod,6.6m,,carnivorous,,,,"Late Cretaceous, 72-66 million years ago",India,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae",Wilson and colleagues ,(2003) ,narmadensis,"  Rajasaurus was a large meat-eating dinosaur that lived towards the end of the Cretaceous Period in what is now India. It was a kind of abelisaur, a group that also contains the well-known dinosaur Carnotaurus.  Rajasaurus sported a single short horn on t",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/rajasaurus.jpg
Rebbachisaurus,re-bash-i-sore-us,'[Ait] Rebbach lizard',sauropod,20.0m,,herbivorous,,,,"Early Cretaceous, 112-99 million years ago",Morocco,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Rebbachisauridae",Lavocat ,(1954) ,garasbae,"  Rebbachisaurus is known only from dorsal vertebrae (part of the backbone), scapula, humerus and sacrum, so reconstructions are quite speculative. But we know it had large spines on its backbone which could have supported a 'sail'.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rebbachisaurus.jpg
Rhabdodon,RAB-doh-don,'rod tooth',large ornithopod,4.0m,,herbivorous,,,,"Late Cretaceous, 76-70 million years ago","Austria,
						
							France,
						
							Romania,
						
							Spain","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Rhabdodontidae",Matherton ,(1869) ,priscus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/rhab.jpg
Rhoetosaurus,reet-oh-sore-us,'Rhoetan lizard',sauropod,15.0m,,herbivorous,,,,"Mid Jurassic, 177-169 million years ago",Australia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda",Longman ,(1926) ,brownei,  Only a partial skeleton of Rhoetosaurus has been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rhoetosaurus.jpg
Rinchenia,rin-chen-ee-ah,'Rinchen',small theropod,2.5m,,omnivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Oviraptorinae",Barsbold ,(1986) ,mongoliensis,"  Rinchenia is known from a skull and fragmentary postcrania, so reconstructions are quite speculative, based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rinchenia.jpg
Riojasaurus,ree-oh-hah-sore-us,'[La] Rioja lizard',prosauropod,5.15m,,herbivorous or omnivorous,,,,"Late Triassic, 221-210 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Melanorosauridae",Bonaparte ,(1969) ,incertus,"  20 Riojasaurus skeletons have been found, both adult and young.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Riojasaurus.jpg
Rugops,roo-gops,'wrinkle face',large theropod,7.0m,,carnivorous,,,,"Late Cretaceous, 95 million years ago",Niger,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae","Sereno, Wilson and Conrad ",(2004) ,primus,"  Rugops is known from an almost complete skull. The skull is relatively delicate, suggesting that this was a scavenger, not an attacking dinosaur like Tyrannosaurus. Rows of holes in the skull may indicate that it had a crest of some kind.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rugops.jpg
Saichania,sigh-CHAN-ee-a,'beautiful',armoured dinosaur,6.6m,,herbivorous,,,,"Late Cretaceous, 80 million years ago",Mongolia,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",MaryaÃÂ±ska ,(1977) ,chulsanensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/saich.jpg
Saltasaurus,salt-a-sore-us,'Salta lizard',sauropod,12.0m,,herbivorous,,,,"Late Cretaceous, 70-66 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae",Bonaparte and Powell ,(1980) ,loricatus,"  Fossils have been found showing that Saltasaurus had small bony nodules embedded in its skin, finally confirming that one a least one group of sauropods, called titanosaurs, had armour plates.  Saltasaurus is one of the last sauropods, living just before",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/salta.jpg
Sarcosaurus,sahr-koh-sore-us,'flesh lizard',small theropod,3.0m,,carnivorous,,,,"Early Jurassic, 202-195 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria",Andrews ,(1921) ,woodi,"  A partial pelvis (hip), femur and vertebrae (backbone) belonging to Sarcosaurus have been found.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sarcosaurus.jpg
Saurolophus,SORE-oh-LOAF-us,'ridged lizard',large ornithopod,9.0m,,herbivorous,,,,"Late Cretaceous, 74-70 million years ago","Canada,
						
							Mongolia","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Brown ,(1912) ,osborni,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/sauro.jpg
Sauropelta,sore-oh-pelt-ah,'lizard shield',armoured dinosaur,6.5m,,herbivorous,,,,"Early Cretaceous, 121-94 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Nodosauridae",Ostrom ,(1970) ,edwardsorum,  Sauropelta had large shoulder spines.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sauropelta.jpg
Saurophaganax,sore-oh-fag-ah-naks,'king of the lizard eaters',large theropod,12.0m,,carnivorous,,,,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Allosauridae",Chure ,(1996) ,maximus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Saurophaganax.jpg
Saurornithoides,sore-OR-nith-OID-eez,'bird-like lizard',small theropod,3.0m,,carnivorous,,,,"Late Cretaceous, 85-80 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Paraves, Eumaniraptoria, Troodontidae",Osborn ,(1924) ,mongoliensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/saurorn.jpg
Scelidosaurus,skel-EYE-doh-sore-us,'limb lizard',armoured dinosaur,4.0m,,herbivorous,,,,"Early Jurassic, 208-194 million years ago","England,
						
							United Kingdom","Dinosauria, Ornithischia, Thyreophora, Scelidosauridae",Owen ,(1868) ,harrisonii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/scelid.jpg
Scutellosaurus,skoo-tell-oh-sore-us,'small shield lizard',armoured dinosaur,1.2m,,herbivorous,,,,"Early Jurassic, 205-202 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora",Colbert ,(1981) ,lawleri,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Scutellosaurus.jpg
Secernosaurus,see-ser-noh-sore-us,'separated lizard',large ornithopod,3.0m,,herbivorous,,,,"Late Cretaceous, 71-66 million years ago",Argentina,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae",Brett-Surman ,(1979) ,koerneri,  Secernosaurus was the first hadrosaurid to be found in South America.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Secernosaurus.jpg
Segisaurus,sayg-ee-sore-us,'Segi [Canyon] lizard',small theropod,1.5m,,carnivorous,,,,"Mid Jurassic, 195-180 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Coelophysoidea, Coelophysidae",Camp ,(1936) ,halli,"  Segisaurus is known only from a partial postcranial skeleton. No full adult has been found, but this was a small carnivorous dinosaur and probably ate insects.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Segisaurus.jpg
Segnosaurus,SEG-no-SORE-us,'slow lizard',large theropod,4.0m,,carnivorous,,,,"Late Cretaceous, 97-88 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Perle ,(1979) ,galbinensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/segno.jpg
Shamosaurus,shah-maw-sore-us,'desert lizard',armoured dinosaur,,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago",Mongolia,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",Tumanova ,(1983) ,scutatus,"  A skull and partial skeleton of Shamosaurus have been found, but not enough to estimate its full length.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Shamosaurus.jpg
Shanag,sha-nag,'named after the dancers in the Buddhist Tsam festival',small theropod,0.45m,,carnivorous,,,,"Early Cretaceous, 126-142 million years ago",Mongolia,"Dinosauria, Saurischia","Turner, Hwang and Norell ",(2007) ,ashile,  Shanag is known only from skull fragments.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shanag.jpg
Shantungo-saurus,shan-TUN-go-sore-us,'Shantung (=Shandong) lizard',large ornithopod,15.0m,,herbivorous,,,,"Late Cretaceous, 78-74 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Hu ,(1973) ,giganteus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shantung.jpg
Shunosaurus,SHOON-oh-SORE-us,'Shuno lizard',sauropod,10.0m,,herbivorous,,,,"Mid Jurassic, 170-160 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","Dong, Zhou and Zhang ",(1983) ,lii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shuno.jpg
Shuvuuia,shu-voo-ee-ah,'bird',small theropod,0.6m,,omnivorous,,,,"Late Cretaceous, 75-81 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Alvarezsauridae","Chiappe, Norell and Clark ",(1998) ,deserti,"  Shuvuuia is known from a well-preserved skull and postcranium. This very small desert dinosaur may have eaten termites. Its lower jaw was not interlocked with the skull, allowing its mouth to open very wide for larger prey.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Shuvuuia.jpg
Silvisaurus,sil-vi-sore-us,'forest lizard',armoured dinosaur,4.0m,,herbivorous,,,,"Early Cretaceous, 121-112 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Nodosauridae",Eaton ,(1960) ,condrayi,"  Silvisaurus is known from a skull and fragmentary postcrania, so reconstructions are mostly guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Silvisaurus.jpg
Sinocalliopteryx,sie-no-kall-ee-op-ter-iks,'Chinese beautiful feather',small theropod,2.37m,,carnivorous,,,,"Early Cretaceous, 125 million years ago",China,"Dinosauria, Saurischia","Ji, Ji, LÃÂ¼ and Yuan ",(2007) ,gigas,"  Sinocalliopteryx is known from a complete skeleton with preserved filamentous integumentary structures (hair-like 'protofeathers'). Part of the leg of a dromaeosaurid (a small, fast-moving dinosaur that walked on 2 legs) and also some gastroliths (stomac",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/sinocalliopteryx.jpg
Sinornithosaurus,sine-or-nith-oh-sore-us,'Chinese bird lizard',small theropod,2.0m,,carnivorous,,,,"Early Cretaceous, 122-120 million years ago",China,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Xu, Wang and Wu ",(1999) ,millenii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinornithosaurus.jpg
Sinosauropteryx,sine-oh-sore-op-ter-iks,'Chinese lizard wing',small theropod,1.1m,,carnivorous,,"small animals, including mammals and lizards",on 2 legs,"Early Cretaceous, 125-122 million years ago",China,"Dinosauria, Saurischia, Theropoda, Compsognathidae",Ji and Ji ,(1996) ,prima," Sinosauropteryx Sinosauropteryx was a small, meat-eating dinosaur. It had a covering of primitive feathers, which were thin and hair-like.  It was the first feathered dinosaur discovered that wasn't directly related to birds. Sinosauropteryx Another speci",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/sinosauropteryx-ml.jpg
Sinovenator,sien-oh-vee-nay-tor,'Chinese hunter',small theropod,1.0m,,carnivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Saurischia, Theropoda, Paraves, Eumaniraptoria, Troodontidae","Xu, Norell, Wang, Makovicky and Wu ",(2002) ,changii,  A partial skeleton and skulls of Sinvenator have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinvenator.jpg
Sinraptor,sien-rap-tor,'Chinese plunderer',large theropod,7.6m,,carnivorous,,,,"Mid Jurassic, 169-142 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Sinraptoridae",Gao ,(1992) ,hepingensis,  Almost complete skeletons of Sinraptor have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinraptor.jpg
Sonidosaurus,soh-nid-oh-sore-us,'Sonid (area in which the type locality is) lizard',sauropod,9.0m,,herbivorous,,,,"Late Cretaceous, 89-66 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Xu, Zhang, Tan, Zhao and Tan ",(2006) ,saihangaobiensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sonidosaurus.jpg
Spinosaurus,SPINE-oh-SORE-us,'spine lizard',large theropod,14.0m,7400kg,carnivorous,smooth and cone-shaped,fish and maybe other dinosaurs,,"Late Cretaceous, 99-94 million years ago","Egypt,
						
							Morocco","Dinosauria, Saurischia, Theropoda, Spinosauridae, Spinosaurini",Stromer ,(1915) ,aegyptiacus,  Spinosaurus was a large meat-eating dinosaur from Africa. Scientists think it may have lived a semi-aquatic lifestyle.  Our understanding of Spinosaurus has changed in recent years. For over 100 years we only had very incomplete remains of this dinosaur.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/spinosaurus.jpg
Staurikosaurus,stor-ik-oh-sore-us,'Southern Cross lizard',early dinosaur,2.0m,,carnivorous,,,,"Late Triassic, 227-221 million years ago",Brazil,"Dinosauria, Saurischia, Theropoda, Herrerasauridae",Colbert ,(1970) ,pricei,  Staurikosaurus was one of the earliest dinosaurs.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Staurikosaurus.jpg
Stegoceras,ste-GOS-er-as,'horny roof',pachycephalosaur,2.4m,,herbivorous,,,,"Late Cretaceous, 76-74 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae",Lambe ,(1902) ,validum,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/stegoceras.jpg
Stegosaurus,STEG-oh-SORE-us,'roof lizard',armoured dinosaur,9.0m,,herbivorous,,,,"Late Jurassic, 152-145 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae",Marsh ,(1877) ,armatus,"  A large, slow moving plant-eater, Stegosaurus would have defended itself from predators like Allosaurus and Ceratosaurus with its powerful spiked tail.  The bony plates along its back were embedded in the skin of the animal, not attached to its skeleton,",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/stego.jpg
